gene_id	transcript_id	gene_name	gene_length	CDS
ENSG00000186092.6	ENST00000641515.2	OR4F5	2618	61-1041
ENSG00000284733.1	ENST00000426406.3	OR4F29	995	20-958
ENSG00000284662.1	ENST00000332831.4	OR4F16	995	20-958
ENSG00000187634.12	ENST00000342066.8	SAMD11	2557	91-2136
ENSG00000188976.11	ENST00000327044.7	NOC2L	2757	17-2266
ENSG00000187961.14	ENST00000338591.8	KLHL17	2567	111-2039
ENSG00000187583.11	ENST00000379410.8	PLEKHN1	3176	51-1886
ENSG00000187642.9	ENST00000433179.3	PERM1	3340	1-2373
ENSG00000188290.11	ENST00000428771.6	HES4	1040	200-943
ENSG00000187608.10	ENST00000624697.4	ISG15	787	252-725
ENSG00000188157.15	ENST00000651234.1	AGRN	7477	451-6342
ENSG00000237330.3	ENST00000453464.3	RNF223	1900	301-1050
ENSG00000131591.17	ENST00000477196.5	C1orf159	3214	166-462
ENSG00000162571.14	ENST00000379290.6	TTLL10	2307	197-2218
ENSG00000186891.14	ENST00000379268.7	TNFRSF18	1083	22-747
ENSG00000186827.11	ENST00000379236.4	TNFRSF4	1075	27-860
ENSG00000078808.18	ENST00000660930.1	SDF4	2137	330-1376
ENSG00000176022.7	ENST00000379198.5	B3GALT6	2805	43-1032
ENSG00000184163.3	ENST00000330388.2	C1QTNF12	1036	33-941
ENSG00000160087.21	ENST00000450390.6	UBE2J2	2455	189-320
ENSG00000162572.21	ENST00000338555.6	SCNN1D	3475	1145-3061
ENSG00000131584.19	ENST00000354700.10	ACAP3	3793	116-2620
ENSG00000169972.12	ENST00000379031.10	PUSL1	1257	48-959
ENSG00000127054.21	ENST00000540437.5	INTS11	2629	535-2355
ENSG00000224051.7	ENST00000343938.9	CPTP	2154	377-1021
ENSG00000169962.5	ENST00000339381.6	TAS1R3	3475	67-2625
ENSG00000107404.20	ENST00000378888.10	DVL1	3305	354-2441
ENSG00000162576.17	ENST00000477278.3	MXRA8	2728	515-1816
ENSG00000175756.13	ENST00000338370.7	AURKAIP1	1072	402-1001
ENSG00000221978.12	ENST00000400809.8	CCNL2	3112	30-1592
ENSG00000242485.6	ENST00000482352.1	MRPL20	1049	74-541
ENSG00000235098.8	ENST00000537107.5	ANKRD65	2190	313-1512
ENSG00000205116.3	ENST00000378821.3	TMEM88B	492	1-492
ENSG00000179403.12	ENST00000476993.2	VWA1	4492	60-1397
ENSG00000215915.10	ENST00000378785.7	ATAD3C	3864	996-2231
ENSG00000160072.20	ENST00000673477.1	ATAD3B	4098	121-2067
ENSG00000197785.14	ENST00000378755.9	ATAD3A	2612	95-1999
ENSG00000205090.9	ENST00000378733.9	TMEM240	1381	279-800
ENSG00000160075.12	ENST00000359060.5	SSU72	4176	28-489
ENSG00000228594.4	ENST00000422725.4	FNDC10	2124	121-801
ENSG00000197530.12	ENST00000520777.5	MIB2	3321	46-3246
ENSG00000189409.14	ENST00000512731.5	MMP23B	1531	42-758
ENSG00000248333.8	ENST00000341832.10	CDK11B	2998	113-2461
ENSG00000189339.12	ENST00000617444.5	SLC35E2B	6434	913-2130
ENSG00000008128.23	ENST00000404249.8	CDK11A	2984	114-2456
ENSG00000215790.7	ENST00000643905.1	SLC35E2A	6293	424-1224
ENSG00000008130.15	ENST00000378625.5	NADK	3653	206-1981
ENSG00000078369.18	ENST00000378609.9	GNB1	3163	364-1386
ENSG00000169885.10	ENST00000378604.3	CALML6	769	174-668
ENSG00000178821.13	ENST00000378602.3	TMEM52	1118	242-826
ENSG00000142609.18	ENST00000493964.5	CFAP74	5247	157-4911
ENSG00000187730.9	ENST00000378585.7	GABRD	1914	80-1438
ENSG00000067606.17	ENST00000378567.8	PRKCZ	2385	221-1999
ENSG00000162585.17	ENST00000428120.5	FAAP20	2313	1-580
ENSG00000157933.10	ENST00000378536.5	SKI	6083	449-2635
ENSG00000116151.14	ENST00000449373.2	MORN1	4764	1-558
ENSG00000157916.20	ENST00000605895.6	RER1	3028	126-716
ENSG00000157911.11	ENST00000288774.8	PEX10	2905	63-1103
ENSG00000149527.18	ENST00000449969.5	PLCH2	5450	162-3551
ENSG00000157881.16	ENST00000378466.9	PANK4	2641	10-2331
ENSG00000197921.6	ENST00000378453.4	HES5	1324	100-600
ENSG00000157873.17	ENST00000355716.4	TNFRSF14	1707	300-1151
ENSG00000157870.17	ENST00000444521.6	PRXL2B	2827	47-787
ENSG00000142606.16	ENST00000378412.8	MMEL1	2879	189-2528
ENSG00000215912.12	ENST00000401095.8	TTC34	8814	183-3422
ENSG00000169717.7	ENST00000378404.4	ACTRT2	1437	221-1354
ENSG00000142611.17	ENST00000270722.10	PRDM16	8698	58-3888
ENSG00000130762.15	ENST00000378378.9	ARHGEF16	2822	167-2296
ENSG00000162591.16	ENST00000356575.9	MEGF6	7443	241-4866
ENSG00000158109.15	ENST00000378344.7	TPRG1L	2401	59-877
ENSG00000116213.16	ENST00000378322.7	WRAP73	1998	60-1367
ENSG00000078900.15	ENST00000378295.9	TP73	5192	160-2070
ENSG00000162592.10	ENST00000462521.2	CCDC27	2252	38-646
ENSG00000235169.10	ENST00000642557.3	SMIM1	600	329-565
ENSG00000130764.10	ENST00000378251.3	LRRC47	4303	23-1774
ENSG00000116198.14	ENST00000675108.1	CEP104	6700	338-538
ENSG00000169598.17	ENST00000491998.5	DFFB	3152	324-1136
ENSG00000198912.11	ENST00000361605.4	C1orf174	1645	87-818
ENSG00000196581.11	ENST00000378191.5	AJAP1	12102	818-2053
ENSG00000131697.18	ENST00000489180.6	NPHP4	5548	269-3004
ENSG00000069424.15	ENST00000662815.1	KCNAB2	5647	1-212
ENSG00000116254.18	ENST00000262450.8	CHD5	9850	299-6163
ENSG00000285629.1	ENST00000484532.6	AL031847.1	663	89-250
ENSG00000116251.11	ENST00000234875.9	RPL22	2061	23-409
ENSG00000158286.13	ENST00000377939.5	RNF207	3981	185-2089
ENSG00000116237.16	ENST00000343813.10	ICMT	4795	54-908
ENSG00000173673.8	ENST00000377898.4	HES3	710	79-639
ENSG00000158292.7	ENST00000377893.3	GPR153	4198	384-2213
ENSG00000097021.19	ENST00000361521.8	ACOT7	2429	993-2105
ENSG00000069812.11	ENST00000377834.8	HES2	4262	100-621
ENSG00000187017.17	ENST00000636330.1	ESPN	4731	169-4257
ENSG00000215788.11	ENST00000356876.8	TNFRSF25	1968	67-1320
ENSG00000171680.23	ENST00000377740.5	PLEKHG5	4191	730-3750
ENSG00000162408.11	ENST00000377705.6	NOL9	6627	12-2120
ENSG00000173662.21	ENST00000333172.11	TAS1R1	2764	68-2593
ENSG00000204859.13	ENST00000377674.9	ZBTB48	2347	213-2279
ENSG00000162413.16	ENST00000377663.3	KLHL21	6445	185-1804
ENSG00000116273.6	ENST00000377648.5	PHF13	3632	337-1239
ENSG00000041988.15	ENST00000377627.7	THAP3	2053	28-555
ENSG00000007923.16	ENST00000377577.10	DNAJC11	3201	17-1696
ENSG00000171735.19	ENST00000303635.12	CAMTA1	8314	78-5099
ENSG00000049245.13	ENST00000054666.11	VAMP3	2178	89-391
ENSG00000049246.14	ENST00000613533.4	PER3	6318	265-3897
ENSG00000049247.14	ENST00000377516.6	UTS2	1601	322-741
ENSG00000049249.9	ENST00000615230.4	TNFRSF9	5970	262-1029
ENSG00000116288.13	ENST00000338639.10	PARK7	1127	107-676
ENSG00000116285.13	ENST00000377482.10	ERRFI1	3097	226-1614
ENSG00000162426.15	ENST00000471889.6	SLC45A1	2784	386-2632
ENSG00000142599.19	ENST00000337907.7	RERE	8026	636-5336
ENSG00000074800.16	ENST00000646370.2	ENO1	1837	121-426
ENSG00000131686.15	ENST00000480186.7	CA6	1493	6-545
ENSG00000197241.3	ENST00000400906.1	SLC2A7	1539	1-1539
ENSG00000142583.18	ENST00000377424.9	SLC2A5	4085	100-1605
ENSG00000180758.12	ENST00000377411.5	GPR157	5197	76-1083
ENSG00000049239.13	ENST00000377403.7	H6PD	9147	304-2679
ENSG00000171621.14	ENST00000328089.11	SPSB1	3106	328-1149
ENSG00000171612.7	ENST00000302692.7	SLC25A33	3865	228-1193
ENSG00000188807.13	ENST00000340305.9	TMEM201	3851	10-1188
ENSG00000171608.16	ENST00000628140.2	PIK3CD	5483	209-3415
ENSG00000171603.18	ENST00000377298.9	CLSTN1	4760	233-3178
ENSG00000178585.15	ENST00000377263.6	CTNNBIP1	3006	319-564
ENSG00000162441.12	ENST00000377223.6	LZIC	4989	311-883
ENSG00000173614.14	ENST00000377205.6	NMNAT1	3734	98-937
ENSG00000162444.12	ENST00000315901.4	RBP7	861	54-233
ENSG00000130939.20	ENST00000672724.1	UBE4B	6184	840-4901
ENSG00000054523.18	ENST00000676179.1	KIF1B	10855	389-5839
ENSG00000142657.21	ENST00000270776.13	PGD	2268	55-1506
ENSG00000251503.8	ENST00000400900.6	CENPS-CORT	1469	417-911
ENSG00000175279.22	ENST00000477755.1	CENPS	914	508-744
ENSG00000241563.4	ENST00000377049.4	CORT	914	194-511
ENSG00000160049.12	ENST00000377038.8	DFFA	6035	72-1067
ENSG00000142655.13	ENST00000356607.9	PEX14	1922	18-1151
ENSG00000130940.15	ENST00000377022.8	CASZ1	7934	317-5596
ENSG00000175262.14	ENST00000377004.8	C1orf127	2761	1-2472
ENSG00000120948.18	ENST00000240185.8	TARDBP	4185	103-1347
ENSG00000277726.4	ENST00000614757.4	AL109811.3	1793	95-991
ENSG00000009724.17	ENST00000400897.8	MASP2	2455	33-2093
ENSG00000116649.10	ENST00000376957.7	SRM	1260	76-984
ENSG00000171824.14	ENST00000376936.9	EXOSC10	2796	39-2696
ENSG00000198793.13	ENST00000361445.9	MTOR	8721	122-7771
ENSG00000171819.5	ENST00000376819.4	ANGPTL7	2224	226-1266
ENSG00000120942.14	ENST00000376810.6	UBIAD1	3654	335-1351
ENSG00000204624.8	ENST00000294484.7	DISP3	5265	222-4400
ENSG00000116661.11	ENST00000642025.1	FBXO2	2215	1-805
ENSG00000132879.14	ENST00000376770.5	FBXO44	3320	499-1266
ENSG00000116663.11	ENST00000376753.9	FBXO6	1444	60-941
ENSG00000116670.15	ENST00000235310.7	MAD2L2	1860	930-1565
ENSG00000162490.7	ENST00000294485.6	DRAXIN	7365	155-1204
ENSG00000177674.16	ENST00000314340.10	AGTRAP	1130	74-553
ENSG00000215910.7	ENST00000433342.5	C1orf167	4545	1-4407
ENSG00000177000.13	ENST00000376592.6	MTHFR	8378	1451-3421
ENSG00000011021.23	ENST00000312413.10	CLCN6	5631	168-2711
ENSG00000175206.10	ENST00000376480.7	NPPA	855	100-555
ENSG00000120937.9	ENST00000376468.4	NPPB	708	113-517
ENSG00000116685.16	ENST00000376572.8	KIAA2013	2819	191-2095
ENSG00000083444.17	ENST00000196061.5	PLOD1	2976	64-2247
ENSG00000116688.18	ENST00000675231.1	MFN2	4772	564-2837
ENSG00000116691.11	ENST00000235332.6	MIIP	1541	138-1304
ENSG00000120949.15	ENST00000263932.7	TNFRSF8	3760	297-2084
ENSG00000028137.19	ENST00000376259.7	TNFRSF1B	3687	102-1487
ENSG00000048707.15	ENST00000620676.6	VPS13D	16357	168-13334
ENSG00000162496.9	ENST00000616661.5	DHRS3	2201	863-1771
ENSG00000204518.2	ENST00000376221.1	AADACL4	1575	1-1224
ENSG00000188984.12	ENST00000359318.8	AADACL3	4055	68-1291
ENSG00000157330.10	ENST00000614859.5	C1orf158	3564	232-816
ENSG00000116726.5	ENST00000357726.5	PRAMEF12	2889	1131-2582
ENSG00000116721.9	ENST00000332296.7	PRAMEF1	2160	104-1528
ENSG00000239810.3	ENST00000619922.1	PRAMEF11	1845	72-1508
ENSG00000179172.10	ENST00000317869.7	HNRNPCL1	1134	222-1103
ENSG00000120952.4	ENST00000240189.2	PRAMEF2	1642	88-1512
ENSG00000243073.4	ENST00000235349.6	PRAMEF4	1840	72-1508
ENSG00000187545.5	ENST00000235347.4	PRAMEF10	1525	81-1505
ENSG00000204510.5	ENST00000616979.4	PRAMEF7	1592	99-1523
ENSG00000232423.6	ENST00000415464.6	PRAMEF6	1720	87-1517
ENSG00000274764.5	ENST00000436041.5	PRAMEF27	1863	95-1531
ENSG00000277058.2	ENST00000617807.2	HNRNPCL3	1148	244-1125
ENSG00000229571.7	ENST00000614839.4	PRAMEF25	1863	95-1531
ENSG00000275774.3	ENST00000621994.3	HNRNPCL2	1156	244-1125
ENSG00000280267.4	ENST00000624207.1	PRAMEF26	1863	95-1531
ENSG00000179412.11	ENST00000323770.8	HNRNPCL4	1718	165-1046
ENSG00000204505.4	ENST00000415919.2	PRAMEF9	1863	95-1531
ENSG00000279169.3	ENST00000625019.3	PRAMEF13	2163	104-1528
ENSG00000279804.2	ENST00000624297.2	PRAMEF18	2067	1-1440
ENSG00000270601.4	ENST00000622421.2	PRAMEF5	1720	87-1517
ENSG00000182330.10	ENST00000357367.6	PRAMEF8	1844	84-1508
ENSG00000237700.2	ENST00000437300.2	PRAMEF33	1518	74-1498
ENSG00000204501.7	ENST00000376152.2	PRAMEF15	1865	95-1531
ENSG00000204481.8	ENST00000334600.7	PRAMEF14	2164	104-1528
ENSG00000204480.8	ENST00000376101.3	PRAMEF19	1440	1-1440
ENSG00000204479.4	ENST00000376098.4	PRAMEF17	1578	27-1451
ENSG00000204478.9	ENST00000316412.9	PRAMEF20	1597	100-1527
ENSG00000162494.6	ENST00000376085.4	LRRC38	2168	411-1295
ENSG00000162493.16	ENST00000294489.10	PDPN	3104	342-1058
ENSG00000116731.22	ENST00000235372.11	PRDM2	7957	857-6013
ENSG00000189337.17	ENST00000636203.1	KAZN	6874	875-3466
ENSG00000171729.14	ENST00000376008.3	TMEM51	1971	475-1236
ENSG00000142621.19	ENST00000358897.8	FHAD1	5090	139-4377
ENSG00000142634.13	ENST00000375980.9	EFHD2	2422	85-807
ENSG00000162438.12	ENST00000375949.5	CTRC	3482	23-829
ENSG00000142615.8	ENST00000359621.5	CELA2A	916	23-832
ENSG00000215704.10	ENST00000375910.8	CELA2B	915	23-832
ENSG00000132906.18	ENST00000546424.5	CASP9	4463	246-1511
ENSG00000116138.13	ENST00000475133.5	DNAJC16	6299	165-1952
ENSG00000116771.6	ENST00000375826.4	AGMAT	3095	85-1143
ENSG00000197312.12	ENST00000480945.6	DDI2	10667	214-1413
ENSG00000215695.1	ENST00000345034.1	RSC1A1	1854	1-1854
ENSG00000116786.13	ENST00000375799.8	PLEKHM2	4134	240-3299
ENSG00000162461.8	ENST00000294454.6	SLC25A34	3129	229-1143
ENSG00000162460.7	ENST00000375782.2	TMEM82	1443	62-1093
ENSG00000162458.13	ENST00000375771.5	FBLIM1	3498	444-1565
